LABELS
SEPARATOR COMMA
DATA
GCF_000474235.1,Halarchaeum acidiphilum
GCF_000495475.1,Halobaculum tyrrellense
GCF_000517625.1,Halostagnicola larsenii
GCF_000591055.1,Natronomonas moolapensis
GCF_000691505.1,Halostagnicola sp000691505
GCF_000710615.1,Haladaptatus cibarius
GCF_000731985.1,Natrinema altunense
GCF_000739555.1,Halolamina rubra
GCF_000739575.1,Halobellus rufus
GCF_000755245.1,Halococcus sediminicola
GCF_001011115.1,Halanaeroarchaeum sulfurireducens
GCF_001280425.1,Haloarcula rubripromontorii
GCF_001282785.1,Halolamina sediminis
GCF_001307315.1,Halolamina pelagica_B
GCF_001368915.1,Haloferax massiliensis
GCF_001462205.1,Haloparvum sedimenti
GCF_001469875.2,Haloferax marisrubri
GCF_001469955.1,Haloprofundus marisrubri
GCF_001482285.1,Haloferax sp001482285
GCF_001485535.1,Halobacterium sp001485535
GCF_001485575.1,Haloarcula sp001485575
GCF_001488575.1,Halobacterium hubeiense
GCF_001593955.1,Halalkalicoccus paucihalophilus
GCF_001625445.1,Haladaptatus sp001625445
GCF_001861355.1,Natrialba sp001861355
GCF_001886955.1,Halodesulfurarchaeum formicicum
GCF_001971705.1,Natronorubrum daqingense
GCF_001989615.1,Halorientalis sp001989615
GCF_002025255.2,Halolamina sp002025255
GCF_002114285.1,Halorubrum ezzemoulense
GCF_002156705.1,Natrarchaeobaculum aegyptiacum
GCF_002177135.1,Natronolimnobius baerhuensis
GCF_002252755.1,Halorubrum sp002252755
GCF_002286985.1,Halorubrum salipaludis
GCF_002355635.1,Halopenitus persicus_A
GCF_002494345.1,Natrinema ejinorense
GCF_002844195.1,Halegenticoccus soli
GCF_002844335.1,Haloarcula taiwanensis
GCF_002906575.1,Salinigranum rubrum
GCF_002952775.1,Halalkaliarchaeum desulfuricum
GCF_003058365.1,Halococcoides cellulosivorans
GCF_003336245.1,Haloplanus salinus
GCF_003342675.1,Haloplanus rubicundus
GCF_003369835.1,Halorussus rarus
GCF_003430825.1,Natrarchaeobaculum sulfurireducens
GCF_003439925.1,Haloprofundus halophilus
GCF_003605575.1,Halonotius aquaticus
GCF_003605635.1,Halonotius pteroides
GCF_003610195.1,Halopiger aswanensis
GCF_003670115.1,Natronorubrum halophilum
GCF_003675855.1,Halostella salina
GCF_003675875.1,Halostella limicola
GCF_003697815.1,Halalkalicoccus subterraneus
GCF_003730195.1,Halosimplex salinum
GCF_003841465.1,Natrarchaeobius chitinivorans_A
GCF_003841485.1,Natrarchaeobius halalkaliphilus
GCF_003841505.1,Natrarchaeobius chitinivorans
GCF_003856835.1,Haloplanus aerogenes
GCF_003862495.1,Halocatena pleomorpha
GCF_003977755.1,Haloterrigena salifodinae
GCF_003990725.2,Halorubrum sp003990725
GCF_004116405.1,Halegenticoccus tardaugens
GCF_004118325.1,Halorientalis pallida
GCF_004143485.2,Halorussus amylolyticus
GCF_004681185.1,Halomicroarcula amylolytica
GCF_004698125.1,Halosimplex halophilum
GCF_004765785.1,Halorussus ruber
GCF_004765795.1,Halorussus marinus
GCF_004765815.2,Halorussus salinus
GCF_004785955.1,Halostella litorea
GCF_004799645.1,Natronorubrum bangense
GCF_004799665.1,Halapricum salinum
GCF_004799685.1,Halobellus limi
GCF_004944975.1,Halorhabdus amylolytica
GCF_005049285.1,Halorientalis salina
GCF_005543295.1,Halalkalirubrum salinum
GCF_006543045.1,Salinadaptatus halalkaliphilus
GCF_006861655.1,Halonotius roseus
GCF_006861665.1,Halonotius terrestris
GCF_007004735.1,Salinigranum halophilum
GCF_007421925.1,Haloglomus irregulare
GCF_007655485.1,Halobellus captivus
GCF_007833275.1,Salarchaeum sp007833275
GCF_008122205.1,Natronococcus pandeyae
GCF_008124605.1,Halobacterium salinarum
GCF_008245225.1,Natrarchaeobius swarupiae
GCF_008729015.1,Haloarcula sp008729015
GCF_008831545.1,Halorussus halophilus
GCF_009176545.1,Salinigranum salinum
GCF_009184545.1,Halosegnis rubeus
GCF_009392895.1,Natronorubrum aibiense
GCF_009617995.1,Halomicrobium sp009617995
GCF_009663395.1,Halosegnis longus
GCF_009674605.1,Haloferax litoreum
GCF_009690625.1,Halorhabdus sp009690625
GCF_009741825.1,Halapricum sp009741825
GCF_009791395.1,Halomarina oriensis
GCF_009831455.1,Salinirussus salinus
GCF_009831575.1,Halovenus carboxidivorans
GCF_009831625.1,Halobaculum saliterrae
GCF_009834785.1,Natronorubrum halalkaliphilum
GCF_009900715.1,Halococcus salsus
GCF_010119195.1,Haloarcula salina
GCF_010119205.1,Halomicroarcula limicola
GCF_011043775.1,Natronolimnobius sp011043775
GCF_011440375.1,Halorubellus sp011440375
GCF_011734195.1,Halobacterium sp011734195
GCF_013267195.1,Halorubrum salinarum
GCF_013342145.1,Haloterrigena gelatinilytica
GCF_013391085.1,Natronomonas halophila
GCF_013391105.1,Natronomonas salina
GCF_013391635.1,Natronomonas gomsonensis_A
GCF_013401515.1,Halobaculum halophilum
GCF_013402875.1,Halobaculum salinum
GCF_013415885.1,Halosimplex rubrum
GCF_013415905.1,Halosimplex pelagicum
GCF_013839425.1,Halorhabdus salina
GCF_013839515.1,Natronomonas sp013839515
GCF_014212355.1,Halobellus ruber
GCF_014646875.1,Halobellus salinus
GCF_014647115.1,Halarchaeum rubridurum
GCF_014647155.1,Halarchaeum nitratireducens
GCF_014647235.1,Halomicroarcula pellucida
GCF_014647415.1,Haloarcula sebkhae
GCF_014647455.2,Halarchaeum grantii
GCF_014647475.1,Halocalculus aciditolerans
GCF_016065055.1,Halosimplex litoreum
GCF_017094465.1,Halapricum sp017094465
GCF_017094485.1,Natronoarchaeum sulfidigenes
GCF_017094505.1,Halapricum sp017094505
GCF_017094525.1,Halapricum desulfuricans
GCF_017352155.2,Haloterrigena alkaliphila
GCF_017357405.1,KZCA124 sp017357405
GCF_017874235.1,Halolamina salifodinae
GCF_019599405.1,Halomicroarcula salinisoli
GCF_019599465.1,Halomicroarcula rubra
GCF_019599505.1,Halomicroarcula nitratireducens
GCF_019693215.1,Salinarchaeum sp019693215
GCF_019823105.1,Halobaculum magnesiiphilum
GCF_019880225.1,Halobaculum rubrum
GCF_019880245.1,Halobaculum roseum
GCF_020097815.1,Haloprofundus sp020097815
GCF_020097835.1,Haloprofundus sp020097835
GCF_020150815.1,Haloprofundus sp020150815
GCF_020177375.1,Saliphagus infecundisoli
GCF_020217425.1,Halomicrobium urmianum
GCF_020405185.1,Halomicrobium salinisoli
GCF_020567425.1,Salinirubrum litoreum
GCF_020567525.1,Halorubellus salinus
GCF_020614375.1,Haladaptatus sp020614375
GCF_020614395.1,Salarchaeum japonicum
GCF_020618475.1,Haladaptatus sp020618475
GCF_020700235.1,Haladaptatus pallidirubidus
GCF_021028995.1,Halobacterium sp021028995
GCF_021083305.1,Haladaptatus sp021083305
GCF_021233415.1,Halobacterium litoreum
GCF_021233435.1,Halobacterium noricense
GCF_021431925.1,Halobaculum sp021431925
GCF_021729015.1,Halobacterium sp021729015
GCF_023008545.1,Halovarius luteus
GCF_023008585.1,Natribaculum breve
GCF_023028105.1,JALIQP01 sp023028105
GCF_023028225.1,Halorientalis litorea
GCF_023028345.1,Halorientalis marina
GCF_023074835.1,Halomarina salina
GCF_023093535.1,Halovivax limisalsi
GCF_023115355.1,Halocatena sp023115355
GCF_023204835.1,Salinarchaeum laminariae
GCF_023238205.1,Halorussus sp023238205
GCF_023276355.1,Haloplanus sp023276355
GCF_023276375.1,Halocatena sp023276375
GCF_023566055.1,JALIQP01 sp023566055
GCF_023638035.1,Natronocalculus amylovorans
GCF_023638055.1,Natronoarchaeum aerophilus
GCF_023698535.1,Halorientalis regularis
GCF_023699475.1,Halomarina rubra
GCF_023703775.1,Haloplanus sp023703775
GCF_023703795.1,Haloplanus sp023703795
